title,rating,ratingDescription,ratingLevel,release year,user rating score,user rating size,Genre,Age Restriction
Girlfriends' Guide to Divorce,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,63.0,80,,14+
Fried,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,,82,,17+
The Great Gilly Hopkins,PG,for thematic material and language,60,2016,69.0,80,"drama,comedy",no restriction
The Magicians,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,89.0,80,Fantasy,17+
One Day at a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,,82,Comedy,no restriction
Better Off Single,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,romance,17+
The Matchbreaker,PG,Parental guidance suggested. May not be suitable for children.,60,2016,79.0,80,romance,no restriction
Tramps,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,,17+
Slam,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,drama,17+
The Waterboy,PG-13,language and some crude sexual humor,80,1998,82.0,80,,no restriction
10 Things I Hate About You,PG-13,"adult content, adult language and mild violence",80,1999,68.0,80,Sitcom,no restriction
Grease,PG,Parental guidance suggested. May not be suitable for children.,60,1978,86.0,80,"romance,musical",no restriction
How to Lose a Guy in 10 Days,PG-13,some sex-related material,80,2003,56.0,80,romance,no restriction
The Benchwarmers,PG-13,"crude and suggestive humor, and for language",80,2006,77.0,80,,no restriction
Step Up,PG-13,"thematic elements, brief violence and innuendo",80,2006,64.0,80,"Drama, Dance",no restriction
High School Musical 2,TV-G,Suitable for all ages.,35,2007,58.0,80,"kids,family,comedy,musical",no restriction
Twilight,PG-13,some violence and one sexual scene,80,2008,89.0,80,"romance,fantasy",no restriction
Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95.0,80,"kids,family,animation,fantasy",no restriction
Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35,2009,56.0,80,,no restriction
Friday Night Lights,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,81.0,80,"Sports drama, Teen drama, Family drama",no restriction
StarStruck,TV-G,Suitable for all ages.,35,2010,,82,drama,no restriction
Mean Girls 2,PG-13,"For some rude and suggestive material, and for language.",80,2011,,82,comedy,no restriction
That '70s Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,89.0,80,"Comedy, Period sitcom, Teen sitcom",14+
Heartland,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,85.0,80,western,no restriction
Switched at Birth,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,83.0,80,Family drama,14+
Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,81.0,80,Comedy-drama,no restriction
Safe Haven,PG-13,"thematic material involving threatening behavior, and for violence and sexuality",80,2013,62.0,80,"mystery,thriller,romance,drama",no restriction
The Night Shift,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,93.0,80,Medical drama,14+
Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,79.0,80,"Historical drama, Romantic drama",14+
Fuller House,TV-G,Suitable for all ages.,35,2016,90.0,80,Sitcom,no restriction
Gilmore Girls: A Year in the Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77.0,80,Comedy-drama,14+
Gabriel lglesias: IÂÃÂªm Sorry For What I Said When I Was Hungry,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.0,80,,14+
The Wedding Planner,PG-13,language and some sexual humor,80,2001,,82,,no restriction
Blow,R,"pervasive drug content and language, some violence and sexuality",100,2001,78.0,80,"crime,biography,drama",no restriction
High School Musical,TV-G,Suitable for all ages.,35,2006,64.0,80,Musical,no restriction
